Local,Cliente
Helios,REDEN
Resun,REDEN
Eresolar,REDEN
Cvilaflor,REDEN
Ameixial 1,INFRAVENTUS
Ameixial 2,INFRAVENTUS
Freixial,INFRAVENTUS
Reflexos Púrpura,REDEN
Calado,SONNET
Arrotas 10 MW,GREENVOLT
Arrotas 1 MW,INFRAVENTUS
Burrazeiro,INFRAVENTUS
Covão do Coelho,INFRAVENTUS
Santa Cita,SONNET
Alandroal,GREENVOLT
Pernes,GREENVOLT
Paul,INFRAVENTUS
Terena,GREENVOLT
Vila Viçosa,GREENVOLT
Santa Vitória,SONNET
Vista Alegre,INFRAVENTUS
Vale Bom,GREENVOLT
Castelo CV,GREENVOLT
Castelo IF,GREENVOLT
Parreirinha,SONNET
Sado,SONNET
Torres,SONNET
Peru,SONNET
Senhora da Graça,SONNET
Bustos,SONNET
Aljustrel,SONNET
Milagres 1,SONNET
Milagres 2,SONNET
Sines,SONNET
Reguengos,SONNET
Cadaval,INFRAVENTUS
Sancheira,SONNET
Chaminé,INFRAVENTUS
Rio Seco,SONNET
